"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"261742","1","6 UNIT CONDO CONVERSION","1","3","6","820","667","3","3","0","4","4","4","1987","1997","100","N","N","N","1","Y","1","440       NE 73RD                      ST      98115","440  ","   ","NE","73RD                     ","ST  ","  ","98115"
"268400","4","37 RESIDENTIAL+2 COM'L CONDO UNT","1","4","37","874","498","3","3","0","4","5","3","1996","1996","100","Y","Y"," ","2","N","1","1417         QUEEN ANNE                AVE  N  98109","1417 ","   ","  ","QUEEN ANNE               ","AVE ","N ","98109"
"278470","1","FLATS","1","3","24","539","364","3","3","0","4","4","4","1930","1992","100","N","Y","N","1","Y","1","411          BOYLSTON                  AVE  E  98102","411  ","   ","  ","BOYLSTON                 ","AVE ","E ","98102"
"286740","4","108 Res + 3 Com'l units","1","27","111","830","117","3","3","0","2","5","4","1979","1979","100","Y","Y"," ","1","N","1","2201         3RD                       AVE     98121","2201 ","   ","  ","3RD                      ","AVE ","  ","98121"
"287500","1","TOWNHOUSES","10","2","51","1131","3892","3","3","0","4","5","3","1979","1986","100","N","N","Y","2","N","1","14601     NE 35TH                      ST      98007","14601","   ","NE","35TH                     ","ST  ","  ","98007"
"288790","4","Mixed Use Condo","1","4","18","1056","981","4","3","0","4","6","4","1978","1978","100","N","Y","Y","2","N","1","7850      E  GREEN LAKE                DR   N  98103","7850 ","   ","E ","GREEN LAKE               ","DR  ","N ","98103"
"306613","1","FLATS","2","3","4","2995","1800","4","4","0","4","7","3","1991","1991","100","N","N","Y","2","N","1","726          BELMONT                   PL   E  98102","726  ","   ","  ","BELMONT                  ","PL  ","E ","98102"
"310980","1","Flats","2","3","7","1767","3504","4","4","0","4","6","4","1981","1981","100","Y","Y","Y","2","N","1","6436         LAKE WASHINGTON           BLVD NE 98033","6436 ","   ","  ","LAKE WASHINGTON          ","BLVD","NE","98033"
"311081","1","FLATS & TOWNHOUSES","1","6","16","2339","915","4","4","100","2","6","2","1994","1994","100","Y","Y","Y","2","N","1","1027         HARBOR                    AVE  SW 98116","1027 ","   ","  ","HARBOR                   ","AVE ","SW","98116"
"311504","1","29 of 103 units","9","2","103","1272","3269","4","4","0","4","5","3","1987","1987","100","N","N","Y","2","N","1","15900     NE 40TH                      ST      98052","15900","   ","NE","40TH                     ","ST  ","  ","98052"
"312140","1","2 Unit Duplex Townhome","1","2","2","1465","3026","3","3","0","4","5","3","2015","2015","100","N","N","N","2","N","1","710          HARRINGTON                AVE  NE 98056","710  ","   ","  ","HARRINGTON               ","AVE ","NE","98056"
"321155","1","16 UNIT CONDO","4","2","16","1200","2403","3","3","0","4","4","4","1974","1986","100","N","N","Y","2","Y","1","14520        30TH                      AVE  NE 98155","14520","   ","  ","30TH                     ","AVE ","NE","98155"
